name,categories,lat,lng,city,id,url,yelp_link,rating,reviews
Trabocco Kitchen and Cocktails,italian restaurant,37.75713787134351,-122.25175007078096,Alameda,52a8c5e911d28b6a4122b614,,https://www.yelp.com/biz/trabocco-kitchen-and-cocktails-alameda,4 star rating,1263 reviews
Sidestreet Pho,vietnamese restaurant,37.76286736692297,-122.24512760499984,Alameda,5127d17de4b02a1718eab694,,https://www.yelp.com/biz/sidestreet-pho-alameda,4 star rating,822 reviews
Julie's Coffee & Tea Shop,café,37.76163172964298,-122.24514096622651,Alameda,4ae61a25f964a520b9a421e3,,https://www.yelp.com/biz/julies-coffee-and-tea-shop-alameda,4 star rating,668 reviews
Doggy-Style Hot Dogs,hot dog joint,37.76164791404326,-122.2448704651682,Alameda,4e6acf1e18a83989eca2e245,,https://www.yelp.com/biz/doggy-style-hot-dogs-alameda,4.5 star rating,335 reviews
Burma Superstar,burmese restaurant,37.76365207464914,-122.24341058434636,Alameda,4b3fcf3cf964a52058af25e3,,https://www.yelp.com/biz/burma-superstar-alameda,4 star rating,1909 reviews
Troy,middle eastern restaurant,37.764388254681705,-122.24336512944782,Alameda,4b6a2e45f964a520dfcb2be3,https://www.grubhub.com/restaurant/troy-greek-cuisine-2318-a-central-ave-alameda/549127?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=549127,https://www.yelp.com/biz/troy-alameda,4 star rating,399 reviews
The Star,pizza place,37.76419977433267,-122.24271068207528,Alameda,59f68b9286f4cc308a07fe90,https://www.grubhub.com/restaurant/the-star-on-park-1400-park-street-alameda/556653?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=556653,https://www.yelp.com/biz/the-star-alameda,4 star rating,382 reviews
Scolari's Good Eats,american restaurant,37.76271351016542,-122.24425000350969,Alameda,4c51f2fe9d642d7f4e8f6bde,,https://www.yelp.com/biz/scolaris-good-eats-alameda,4 star rating,1039 reviews
Mama Papa Lithuania Restaurant & Tea House,eastern european restaurant,37.76210683807732,-122.24463793353877,Alameda,52a4fa3d498ef887434020b4,,https://www.yelp.com/biz/mama-papa-lithuania-restaurant-and-tea-house-alameda,4.5 star rating,570 reviews
Chipotle Mexican Grill,mexican restaurant,37.7561207,-122.2501137,Alameda,4b381043f964a520104b25e3,,https://www.yelp.com/biz/chipotle-mexican-grill-alameda,3 star rating,290 reviews
Cholita Linda,mexican restaurant,37.76353653082272,-122.24353982187077,Alameda,5b80c1166e4650002cafa8d1,,https://www.yelp.com/biz/cholita-linda-alameda,4.5 star rating,30 reviews
Utzutzu,sushi restaurant,37.76492492362601,-122.24212074743394,Alameda,5ad96b9f9be5224883d57fe7,,https://www.yelp.com/biz/utzutzu-alameda,4.5 star rating,74 reviews
Yojimbo Sushi,sushi restaurant,37.76154595570039,-122.24538161797024,Alameda,4b230913f964a520785224e3,,https://www.yelp.com/biz/yojimbo-sushi-alameda,4 star rating,1416 reviews
Ole's Waffle Shop,diner,37.7655786157402,-122.24175194819543,Alameda,4a5a9e6af964a520a9ba1fe3,,https://www.yelp.com/biz/oles-waffle-shop-alameda,3.5 star rating,1326 reviews
Q's Halal Chicken,afghan restaurant,37.7645832052382,-122.24381319506689,Alameda,5143dcb6e4b0acadf2cbb9dc,https://www.grubhub.com/restaurant/qs-halal-mediterranean-2306-central-ave-alameda/1969465?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=1969465,https://www.yelp.com/biz/qs-halal-chicken-alameda,4.5 star rating,653 reviews
La Penca Azul,mexican restaurant,37.76523028629,-122.24181879012305,Alameda,4c8c456e5e048cfa62aecbcd,https://www.grubhub.com/restaurant/la-penca-azul-1440-park-st-alameda/719198?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=719198,https://www.yelp.com/biz/la-penca-azul-alameda,3.5 star rating,2039 reviews
The Hobnob,new american restaurant,37.76294880651091,-122.24412880285443,Alameda,4a5bd49ef964a520d5bb1fe3,,https://www.yelp.com/biz/the-hobnob-alameda,3.5 star rating,725 reviews
Speisekammer,german restaurant,37.76609848921766,-122.24010536478022,Alameda,463de5c9f964a5203f461fe3,,https://www.yelp.com/biz/speisekammer-alameda,4 star rating,1368 reviews
Feel Good Bakery,bakery,37.767750699381665,-122.23950204783034,Alameda,4ad2669df964a52067e120e3,,https://www.yelp.com/biz/feel-good-bakery-alameda,4 star rating,452 reviews
Five Guys,burger joint,37.75625251358997,-122.2507636963125,Alameda,5228f226498e4ba407f6b263,https://www.grubhub.com/restaurant/five-guys-2254-s-shore-ctr-alameda/783904?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=783904,https://www.yelp.com/biz/five-guys-alameda,3 star rating,229 reviews
Angela's,middle eastern restaurant,37.76741473549111,-122.23983803589473,Alameda,55ed0e49498e815d60111165,,https://www.yelp.com/biz/angelas-alameda,4 star rating,29 reviews
Firehouse Subs,sandwich place,37.76493530301929,-122.24354267120361,Alameda,572764f2498e96aa95960b32,,https://www.yelp.com/biz/firehouse-subs-alameda,3.5 star rating,104 reviews
Wild Ginger,noodle house,37.76199521489302,-122.24482334100455,Alameda,597ce11e851de5170ce4d729,https://www.grubhub.com/restaurant/wild-ginger-1239-park-st-alameda/614517?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=614517,https://www.yelp.com/biz/wild-ginger-alameda,4 star rating,321 reviews
Taqueria Ramiro & Sons,burrito place,37.76355427247191,-122.2438116179086,Alameda,4b0b354ef964a520a92e23e3,,https://www.yelp.com/biz/taqueria-ramiro-and-sons-alameda,4 star rating,414 reviews
East End,pizza place,37.767940986662886,-122.2395316162635,Alameda,4dbb13251e72b351ca8fec4a,,https://www.yelp.com/biz/east-end-alameda,3.5 star rating,514 reviews
Monkey King Pub & Grub,asian restaurant,37.76303405653339,-122.24401628712997,Alameda,4f4c0408121dc37e202ace44,,https://www.yelp.com/biz/monkey-king-pub-and-grub-alameda,3.5 star rating,1135 reviews
Poke Koma,poke place,37.76395146024407,-122.24300024783656,Alameda,57f7032e498e3df08b9782c4,,https://www.yelp.com/biz/poke-koma-alameda,4.5 star rating,389 reviews
