,Hospital,Hospital Latitude,Hospital Longitude,Venue City,Venue,Venue Latitude,Venue Longitude,Venue Category,yelp_link,rating,reviews
0,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Premier Pizza,37.3945462383582,-121.9464278275858,Pizza Place,https://www.yelp.com/biz/premier-pizza-santa-clara,3.5 star rating,360 reviews
1,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Great Indian Cuisine,37.39432166633961,-121.9597521504592,Indian Restaurant,https://www.yelp.com/biz/great-indian-cuisine-santa-clara,4 star rating,488 reviews
2,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Easterly Hunan Cuisine,37.39456959024802,-121.94572848585344,Chinese Restaurant,https://www.yelp.com/biz/easterly-hunan-cuisine-santa-clara,3.5 star rating,140 reviews
3,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Jersey Mike's Subs,37.394932,-121.94582,Sandwich Place,https://www.yelp.com/biz/jersey-mikes-subs-santa-clara,3.5 star rating,214 reviews
4,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Logan's Big Dawgs,37.394181,-121.95976399999999,Food Truck,https://www.yelp.com/biz/logans-big-dawgs-santa-clara,4.5,117 
5,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Chipotle Mexican Grill,37.39480489533197,-121.946407394792,Mexican Restaurant,https://www.yelp.com/biz/chipotle-mexican-grill-santa-clara,2.5,159 
6,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Mikayla's Cafe,37.408179597535224,-121.9633917632255,Breakfast Spot,https://www.yelp.com/biz/mikaylas-cafe-santa-clara,3.5,714 
7,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Phở Khang,37.408117253237684,-121.96333070538253,Vietnamese Restaurant,https://www.yelp.com/biz/phở-khang-santa-clara,3.5,279 
8,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Athena Grill & Catering,37.37643563606646,-121.95652692326185,Greek Restaurant,https://www.yelp.com/biz/athena-grill-and-catering-santa-clara,4,1533 
9,Agnews Developmental Center,37.3946625,-121.9591252,Santa Clara,Chicken Meets Rice,37.40809918603184,-121.96346352702284,Restaurant,https://www.yelp.com/biz/chicken-meets-rice-santa-clara,4.5,665 
